iteration,k=1,k=2,k=3,k=4,k=e
468,2427,2552,2438,2535,3042
469,2433,2558,2438,2540,3046
470,2440,2562,2439,2545,3053
471,2443,2564,2441,2556,3059
472,2444,2565,2441,2556,3059
473,2447,2568,2446,2559,3072
474,2450,2572,2449,2571,3083
475,2452,2575,2455,2577,3088
476,2460,2580,2459,2582,3088
477,2461,2584,2464,2588,3095
478,2474,2593,2475,2601,3104
479,2478,2595,2489,2602,3108
480,2481,2597,2491,2604,3118
481,2484,2597,2495,2609,3122
482,2485,2601,2499,2614,3128
483,2487,2605,2500,2616,3139
484,2492,2609,2505,2624,3145
485,2492,2616,2507,2628,3152
486,2496,2616,2507,2629,3153
487,2497,2621,2512,2645,3159
488,2500,2623,2514,2648,3163
489,2501,2624,2514,2648,3164
490,2511,2631,2523,2651,3172
491,2515,2636,2527,2657,3176
492,2520,2643,2531,2659,3182
493,2523,2647,2533,2660,3187
494,2525,2649,2539,2671,3188
495,2527,2653,2540,2676,3195
496,2529,2654,2543,2685,3198
497,2529,2654,2545,2690,3208
498,2529,2656,2546,2692,3209
499,2533,2662,2549,2700,3218
500,2538,2666,2550,2700,3220
501,2540,2668,2551,2700,3222
502,2543,2675,2558,2706,3222
503,2545,2677,2560,2706,3232
504,2552,2683,2568,2713,3238
505,2557,2683,2570,2725,3242
506,2559,2691,2574,2725,3247
507,2563,2692,2583,2726,3251
508,2567,2696,2586,2729,3252
509,2567,2697,2586,2734,3255
510,2570,2700,2587,2736,3259
511,2570,2707,2589,2742,3262
512,2575,2713,2592,2744,3267
513,2584,2722,2601,2754,3274
514,2584,2723,2601,2758,3279
515,2589,2726,2604,2767,3284
516,2590,2729,2611,2776,3294
517,2592,2734,2611,2776,3297
518,2595,2744,2612,2780,3297
519,2595,2747,2612,2780,3307
520,2595,2749,2614,2782,3307
521,2602,2754,2624,2786,3313
522,2605,2759,2625,2790,3317
523,2605,2759,2625,2790,3317
524,2611,2762,2630,2794,3320
525,2615,2766,2634,2798,3326
526,2618,2769,2640,2801,3329
527,2618,2773,2645,2801,3330
528,2626,2776,2645,2803,3341
529,2626,2776,2645,2803,3343
530,2632,2777,2646,2804,3353
531,2637,2781,2650,2810,3358
532,2642,2781,2652,2810,3364
533,2646,2784,2652,2811,3368
534,2655,2790,2653,2814,3371
535,2656,2792,2654,2818,3373
536,2657,2793,2660,2822,3375
537,2665,2795,2661,2824,3381
538,2667,2795,2662,2827,3387
539,2672,2800,2668,2831,3391
540,2680,2808,2677,2835,3397
541,2687,2818,2678,2838,3400
542,2688,2818,2680,2842,3407
543,2688,2818,2680,2842,3414
544,2689,2824,2682,2844,3416
545,2695,2829,2691,2847,3417
546,2698,2829,2696,2853,3417
547,2705,2835,2702,2860,3421
548,2710,2840,2708,2866,3421
549,2720,2850,2716,2877,3424
550,2732,2856,2727,2881,3431
551,2735,2856,2733,2883,3436
552,2739,2856,2733,2883,3439
553,2745,2862,2736,2889,3442
554,2747,2865,2741,2901,3449
555,2751,2870,2744,2903,3451
556,2754,2872,2747,2906,3456
557,2758,2874,2750,2908,3462
558,2763,2878,2750,2911,3466
559,2764,2879,2751,2917,3469
560,2764,2879,2752,2917,3469
561,2777,2888,2762,2929,3479
562,2777,2888,2765,2950,3487
563,2782,2891,2769,2952,3493
564,2792,2902,2779,2963,3498
565,2796,2904,2782,2964,3502
566,2797,2905,2786,2966,3506
567,2804,2905,2787,2967,3507
568,2808,2907,2790,2967,3507
569,2809,2910,2793,2970,3511
570,2816,2917,2794,2970,3512
571,2816,2917,2796,2979,3517
572,2824,2926,2796,2980,3527
573,2825,2929,2801,2989,3528
574,2827,2929,2801,2989,3528
575,2829,2929,2802,2989,3529
576,2832,2933,2805,2994,3537
577,2835,2934,2806,2996,3541
578,2835,2934,2808,2998,3541
579,2845,2945,2816,3000,3543
580,2851,2951,2816,3007,3549
581,2853,2951,2817,3010,3550
582,2863,2960,2823,3021,3560
583,2867,2964,2827,3029,3564
584,2867,2967,2830,3035,3565
585,2869,2967,2831,3046,3565
586,2871,2972,2837,3046,3571
587,2876,2973,2840,3049,3574
588,2882,2981,2847,3053,3585
589,2887,2983,2854,3059,3592
590,2893,2990,2858,3068,3597
591,2897,2990,2860,3069,3601
592,2897,2997,2860,3075,3601
593,2897,3002,2863,3082,3611
594,2902,3007,2865,3085,3613
595,2905,3010,2866,3089,3617
596,2911,3016,2875,3100,3622
597,2916,3019,2875,3100,3625
598,2923,3022,2881,3111,3636
599,2928,3027,2883,3117,3643
600,2931,3030,2884,3122,3647
601,2936,3030,2890,3123,3647
602,2943,3036,2895,3135,3658
603,2949,3040,2896,3139,3664
604,2957,3044,2900,3151,3671
605,2960,3050,2906,3158,3675
606,2968,3053,2910,3161,3681
607,2969,3055,2915,3164,3684
608,2969,3055,2915,3167,3684
609,2970,3060,2916,3173,3685
610,2970,3060,2923,3173,3685
611,2971,3063,2925,3177,3689
612,2971,3065,2925,3184,3691
613,2977,3070,2930,3201,3697
614,2979,3070,2931,3203,3702
615,2982,3071,2931,3206,3704
616,2983,3077,2938,3211,3709
617,2983,3077,2938,3211,3709
618,2990,3084,2944,3217,3718
619,2994,3092,2944,3220,3726
620,2999,3099,2949,3227,3730
621,2999,3103,2949,3229,3731
622,3005,3107,2953,3234,3737
623,3012,3109,2959,3236,3746
624,3013,3111,2962,3236,3746
625,3019,3116,2964,3243,3748
626,3021,3118,2965,3245,3751
627,3023,3121,2967,3247,3760
628,3024,3122,2968,3253,3763
629,3028,3126,2972,3256,3767
630,3033,3128,2978,3257,3772
631,3033,3128,2985,3257,3779
632,3033,3128,2986,3262,3780
633,3039,3128,2993,3268,3788
634,3040,3134,2999,3269,3788
635,3043,3136,3004,3275,3788
636,3046,3140,3009,3279,3792
637,3046,3145,3019,3282,3798
638,3048,3153,3029,3284,3801
639,3049,3153,3030,3285,3804
640,3055,3153,3030,3285,3809
641,3060,3156,3035,3289,3812
642,3063,3160,3036,3290,3813
643,3064,3162,3038,3292,3813
644,3064,3162,3039,3294,3818
645,3073,3162,3048,3303,3823
646,3075,3165,3048,3303,3827
647,3082,3169,3052,3306,3831
648,3087,3175,3056,3312,3831
649,3087,3176,3059,3314,3832
650,3096,3182,3066,3318,3839
651,3096,3182,3066,3319,3840
652,3106,3192,3068,3327,3850
653,3106,3192,3068,3327,3860
654,3112,3195,3073,3331,3866
655,3116,3197,3078,3335,3872
